Day,Library,Room,Time,Time Interval,Available?
1,Undergraduate Library,203,12pm-1pm,Afternoon,
1,Undergraduate Library,203,1pm-2pm,Afternoon,
1,Undergraduate Library,203,2pm-3pm,Afternoon,
1,Undergraduate Library,203,3pm-4pm,Afternoon,
1,Undergraduate Library,208,12pm-1pm,Afternoon,
1,Undergraduate Library,208,1pm-2pm,Afternoon,
1,Undergraduate Library,208,2pm-3pm,Afternoon,
1,Undergraduate Library,208,3pm-4pm,Afternoon,
1,Undergraduate Library,209,12pm-1pm,Afternoon,
1,Undergraduate Library,209,1pm-2pm,Afternoon,
1,Undergraduate Library,209,2pm-3pm,Afternoon,
1,Undergraduate Library,209,3pm-4pm,Afternoon,
1,Undergraduate Library,211,12pm-1pm,Afternoon,
1,Undergraduate Library,211,1pm-2pm,Afternoon,
1,Undergraduate Library,211,2pm-3pm,Afternoon,
1,Undergraduate Library,211,3pm-4pm,Afternoon,
1,Undergraduate Library,217,12pm-1pm,Afternoon,
1,Undergraduate Library,217,1pm-2pm,Afternoon,
1,Undergraduate Library,217,2pm-3pm,Afternoon,
1,Undergraduate Library,217,3pm-4pm,Afternoon,
1,Undergraduate Library,218,12pm-1pm,Afternoon,
1,Undergraduate Library,218,1pm-2pm,Afternoon,
1,Undergraduate Library,218,2pm-3pm,Afternoon,
1,Undergraduate Library,218,3pm-4pm,Afternoon,
1,Undergraduate Library,219,12pm-1pm,Afternoon,
1,Undergraduate Library,219,1pm-2pm,Afternoon,
1,Undergraduate Library,219,2pm-3pm,Afternoon,
1,Undergraduate Library,219,3pm-4pm,Afternoon,
1,Undergraduate Library,220,12pm-1pm,Afternoon,
1,Undergraduate Library,220,1pm-2pm,Afternoon,
1,Undergraduate Library,220,2pm-3pm,Afternoon,
1,Undergraduate Library,220,3pm-4pm,Afternoon,
1,Undergraduate Library,221,12pm-1pm,Afternoon,
1,Undergraduate Library,221,1pm-2pm,Afternoon,
1,Undergraduate Library,221,2pm-3pm,Afternoon,
1,Undergraduate Library,221,3pm-4pm,Afternoon,
1,Undergraduate Library,202A,12pm-1pm,Afternoon,
1,Undergraduate Library,202A,1pm-2pm,Afternoon,
